1 draft-boot-autoconf-nemo4manet-00.txt  inf-net
2 draft-ietf-radext-design-00.txt  cisco freeradius
2 draft-eastlake-additional-xmlsec-uris-00.txt  UNKNOWN motorola
1 draft-liu-l2vpn-vpls-vlan-ext-00.txt  zte zte zte zte zte
1 draft-lewis-enum-enumservice-e212-00.txt  neustar
6 draft-fielding-http-p5-range-00.txt  gbiv hp hp microsoft adobe microsoft mit
2 draft-singh-simple-membership-00.txt  columbia columbia verizon
1 draft-wbeebee-nd-updates-00.txt  cisco cisco
1 draft-nikander-ram-ilse-00.txt  ericsson
1 draft-mutaf-piqproblem-00.txt  int-evry
1 draft-otani-ccamp-gmpls-routing-interlink-00.txt  kddi kddi kddi kddi
2 draft-ietf-avt-rtcpxr-audio-00.txt  telchemy nortel
1 draft-williams-sshv2-channel-bindings-00.txt  sun
6 draft-fielding-http-p6-cache-00.txt  gbiv hp hp microsoft adobe microsoft mit
1 draft-baumgart-p2psip-p2pns-00.txt  uka
1 draft-natale-snmp-mibs-to-ontology-00.txt  mitre
2 draft-bernardos-autoconf-evaluation-considerations-00.txt  orange-ft uc3m uc3m
1 draft-reid-dnsext-zs0-00.txt  telnic
1 draft-narten-ipv6-statement-00.txt  ibm
1 draft-narten-radir-problem-statement-00.txt  ibm
1 draft-ietf-enum-x-service-regs-00.txt  switch
1 draft-rescorla-tls-extractor-00.txt  networkresonance
1 draft-rescorla-mmusic-ice-lite-00.txt  networkresonance
4 draft-salsano-sipping-siphandover-solution-00.txt  uniroma2 nec unipr uniroma2
1 draft-ietf-mpls-remote-lsp-ping-00.txt  cisco cisco
3 draft-soliman-firewall-control-00.txt  elevatemobile UNKNOWN ericsson
1 draft-matuszewski-p2psip-security-requirements-00.txt  nokia nokia nokia
2 draft-ietf-mpls-rsvp-te-no-php-oob-mapping-00.txt  cisco cisco juniper
1 draft-thubert-lowpan-backbone-router-00.txt  cisco
3 draft-munakata-sip-privacy-clarified-00.txt  ntt ntt-at ntt
1 draft-briscoe-tsvwg-relax-fairness-00.txt  bt bt bt
1 draft-jcurran-v6transitionplan-00.txt  istaff
