1 draft-chenh-enum-app-auth-00.txt  cnnic cnnic cnnic cnnic
1 draft-fwmiller-ping-00.txt  cornfed
2 draft-ietf-mip6-hiopt-00.txt  samsung samsung samsung starentnetworks
2 draft-boschi-ipfix-reducing-redundancy-00.txt  hitachi-eu fraunhofer
1 draft-westerlund-avt-rtp-howto-00.txt  ericsson
1 draft-fajardo-dime-diameter-errata-00.txt  toshiba
1 draft-ietf-enum-infrastructure-enum-reqs-00.txt  att att
1 draft-polk-dhc-ecrit-lost-server-uri-00.txt  cisco
1 draft-whitehead-mmusic-sip-for-streaming-media-00.txt  UNKNOWN
1 draft-ietf-mip6-experimental-messages-00.txt  azairenet
2 draft-asaeda-mmusic-img-arch-00.txt  keio keio fujitsu fujitsu
3 draft-haluska-sipping-directory-assistance-00.txt  telcordia telcordia telcordia bellsouth qwest
4 draft-kobayashi-avt-rfc3189-bis-00.txt  wide keio packetdesign tzi
1 draft-wysochanski-xkey-iscsi-support-00.txt  netapp
1 draft-ogier-ospf-mdr-position-00.txt  earthlink
1 draft-szego-wcor-imap-00.txt  mindslip
1 draft-kato-ipsec-camellia-modes-00.txt  ntt ntt
1 draft-xu-avt-subrtcp-00.txt  cisco cisco cisco cisco cisco
1 draft-lennox-avt-recoverable-packets-00.txt  layeredmedia
1 draft-stephan-pce-pcedp-pcc-mib-00.txt  orange-ft
2 draft-dreibholz-rserpool-score-00.txt  uni-essen fh-muenster
1 draft-manoj-cachecontrol-00.txt  UNKNOWN
1 draft-djernaes-simple-context-update-00.txt  cisco cisco cisco
2 draft-manral-ipsec-rfc4305-bis-errata-00.txt  ipinfusion UNKNOWN
4 draft-welch-streaming-test-00.txt  ineoquest cisco cisco cisco cisco cisco agilent UNKNOWN
1 draft-mahy-enum-im-service-00.txt  ekabal
2 draft-tsou-dime-base-routing-ext-00.txt  huawei toshiba
2 draft-sawada-sipping-sip-offeranswer-00.txt  kddi cisco
4 draft-madanapalli-ipv6-over-802.16-ipv6cs-00.txt  UNKNOWN nokia sun samsung samsung
1 draft-szego-wcor-overview-00.txt  mindslip
2 draft-ietf-pwe3-aii-aggregate-00.txt  cisco cisco nortel nortel
2 draft-ietf-eai-framework-00.txt  jck pe
2 draft-ietf-forces-tmlsp-00.txt  zjgsu znyx
1 draft-atkinson-twostep-00.txt  extremenetworks
1 draft-li-ccamp-multinodes-gr-proc-00.txt  huawei huawei
1 draft-lendl-enum-branch-location-record-00.txt  enum
3 draft-froment-sipping-spit-authz-policies-00.txt  gdawirs alcatel siemens
7 draft-ietf-ccamp-gmpls-rsvp-te-call-00.txt  alcatel boeing olddog att cisco juniper nortel
1 draft-miao-syslog-transport-tls-00.txt  huawei huawei
2 draft-tschofenig-geopriv-l7-lcp-ps-00.txt  siemens columbia
4 draft-ietf-mip4-gen-ext-00.txt  nortel starentnetworks bridgewatersystems cisco
1 draft-miller-secsh-compression-delayed-00.txt  openssh openssh
2 draft-ietf-sipping-capacity-attribute-00.txt  nokia ericsson
1 draft-ietf-ltans-validate-00.txt  opentext
1 draft-ietf-speermint-terminology-00.txt  cisco
1 draft-lee-speermint-use-case-cable-00.txt  comcast
1 draft-kelly-saag-des-implications-00.txt  hyperthought
2 draft-vijay-somen-pce-bgp-interas-te-path-00.txt  hcl avici
1 draft-komu-shim-native-api-00.txt  hiit
3 draft-ietf-enum-enumservices-guide-00.txt  UNKNOWN comcast switch
3 draft-ietf-shim6-multihome-shim-api-00.txt  UNKNOWN uc3m ericsson ericsson
1 draft-ikpark-autoconf-haa-00.txt  ssu ssu ssu
3 draft-irtf-mobopts-location-privacy-solutions-00.txt  a-star ucdavis nokia
2 draft-kapoor-rohc-profiles-reordering-00.txt  qualcomm lucent lucent
1 draft-barnes-geopriv-secure-location-object-00.txt  bbn bbn bbn
3 draft-iab-raws-report-00.txt  cisco ucla intel
1 draft-weilian-mpls-fast-reroute-ext-00.txt  zte zte zte zte zte
2 draft-ietf-dnsext-rfc2672bis-dname-00.txt  verisign nlnetlabs
1 draft-otis-dkim-dosp-00.txt  trendmicro
2 draft-adamson-roca-rmtsec-issues-00.txt  navy inria
5 draft-takeda-l1vpn-applicability-enhanced-mode-00.txt  att olddog nortel alcatel ntt
1 draft-thomson-geopriv-held-capabilities-00.txt  andrew andrew
1 draft-mcwalter-langtag-mib-00.txt  dataconnection
3 draft-forsberg-pana-skc-00.txt  nokia int-evry um
2 draft-sarikaya-dhc-proxyagent-00.txt  huawei starentnetworks
1 draft-otis-dkim-reliance-level-00.txt  trendmicro
3 draft-oki-pce-inter-layer-frwk-00.txt  ntt orange-ft olddog
4 draft-fajardo-dime-interop-test-suite-00.txt  toshiba openet-telecom siemens int-evry
1 draft-ietf-ipr-outbound-rights-00.txt  joelhalpern
1 draft-imajuku-ccamp-inter-domain-recovery-req-00.txt  ntt ntt
1 draft-ietf-mip4-message-string-ext-00.txt  cisco cisco cisco
2 draft-polk-dhc-emergency-dialstring-option-00.txt  cisco brianrosen
2 draft-barnes-xcon-ccmp-00.txt  ubiquitysoftware nortel
1 draft-crispin-comparator-unicode-00.txt  washington
1 draft-yasukawa-mpls-mp2p-rsvpte-00.txt  ntt
3 draft-mitsuya-monami6-flow-distribution-policy-00.txt  keio kddi keio
1 draft-camarillo-sipping-grant-permission-00.txt  ericsson
3 draft-schuetz-tcpm-tcp-rlci-00.txt  nec nec nasa nokia nokia
1 draft-briscoe-tsvarea-fair-00.txt  bt
5 draft-jee-16ng-ps-goals-00.txt  etri samsung microsoft samsung siemens
1 draft-stein-pwe3-pwsec-00.txt  rad
1 draft-ginsberg-isis-extlsp-00.txt  cisco cisco cisco
1 draft-ietf-sip-acr-code-00.txt  cisco
5 draft-vassilev-portable-symmetric-key-container-00.txt  axalto portwise verisign actividentity diversinet
2 draft-bonaventure-isis-ordered-00.txt  ucl-be cisco
1 draft-chakrabarti-6lowpan-ipv6-nd-00.txt  sun sun
3 draft-vandenberghe-dcpel-basics-00.txt  ugent docomolab-euro pollere
1 draft-huang-nemo-mn-ro-00.txt  huawei
1 draft-niccolini-speermint-voipthreats-00.txt  nec
1 draft-natale-sip-voip-requirements-00.txt  UNKNOWN
1 draft-ietf-shim6-locator-pair-selection-00.txt  uc3m
3 draft-fischl-sipping-media-dtls-00.txt  counterpath siemens networkresonance
2 draft-decnodder-ancp-mib-an-00.txt  alcatel ecitele
1 draft-malas-performance-metrics-00.txt  level3
1 draft-ietf-ipr-ietf-trust-update-00.txt  harvard
2 draft-bhatia-manral-crypto-req-ospf-00.txt  lucent ipinfusion
2 draft-ietf-v6ops-addcon-00.txt  cisco cisco soton
2 draft-ietf-v6ops-icmpv6-filtering-recs-00.txt  pipex niif
2 draft-akiyoshi-netlmm-protocol-00.txt  UNKNOWN nec nec
2 draft-ietf-softwire-4over6vpns-00.txt  cisco cisco cernet cernet
4 draft-ietf-ccamp-gmpls-vcat-lcas-00.txt  grotto-networking (marconi fujitsu huawei
1 draft-pullen-omcast-00.txt  gmu
3 draft-ietf-sip-hop-limit-diagnostics-00.txt  pingtel ditechcom nostrum
2 draft-ietf-dhc-dhcpv6-ero-00.txt  cisco cisco cisco comcast
2 draft-gurbani-sip-large-udp-response-00.txt  bell-labs pingtel
1 draft-rijsman-bfd-down-subcode-00.txt  juniper
1 draft-littlefield-sipping-mgmt-event-00.txt  cisco
1 draft-haddad-mipshop-optisend-00.txt  ericsson ericsson
4 draft-willis-p2psip-concepts-00.txt  cisco ethernot avaya panasonic
1 draft-sjostrand-mip4-udptunnel-mib-00.txt  ipunplugged
1 draft-phillips-record-jar-00.txt  inter-locale
1 draft-niccolini-sipping-feedback-spit-00.txt  nec nec nec
1 draft-vanderveen-eap-sake-00.txt  flarion flarion
2 draft-ietf-tcpm-rfc2581bis-00.txt  icir icir purdue
2 draft-xu-softwire-4over6multicast-00.txt  tsinghua tsinghua tsinghua cisco
4 draft-adamson-rfc2847-bis-00.txt  UNKNOWN UNKNOWN UNKNOWN networkappliance UNKNOWN umich umich
1 draft-bsong-avt-rtp-gfec-00.txt  xidian xidian
2 draft-gupta-ospf-ospfv2-sec-00.txt  tropos juniper
2 draft-narayanan-psk-addr-gen-00.txt  motorola qualcomm
1 draft-koch-dns-unsolicited-queries-00.txt  denic
1 draft-ietf-sasl-gs2-00.txt  josefsson
1 draft-touch-tcp-portnames-00.txt  isi
3 draft-tsirtsis-nemov4-fa-00.txt  qualcomm qualcomm qualcomm cisco UNKNOWN
1 draft-ietf-lemonade-msgevent-00.txt  sun
1 draft-liu-mpls-upstream-load-balance-00.txt  huawei
3 draft-ietf-16ng-ip-over-ethernet-over-802.16-00.txt  etri siemens UNKNOWN
1 draft-ietf-pce-tc-mib-00.txt  orange-ft
3 draft-ietf-sip-certs-00.txt  cisco neustar counterpath
2 draft-ietf-tsvwg-sctp-padding-00.txt  fh-muenster cisco cisco
2 draft-boulton-xcon-userid-00.txt  ubiquitysoftware nortel
3 draft-ietf-nemo-v4-base-00.txt  cisco cisco qualcomm motorola
1 draft-ietf-avt-rtp-vorbis-00.txt  xiph
3 draft-ietf-tsvwg-rsvp-ipsec-00.txt  cisco cisco  bah bah
1 draft-garcia-sipping-resource-event-package-00.txt  nokia nokia
1 draft-camarillo-sipping-consent-format-00.txt  ericsson
2 draft-wing-srtp-keying-eval-00.txt  nortel cisco
1 draft-xia-mipshop-fmip-multicast-00.txt  huawei huawei
2 draft-polk-ecrit-dhc-emergency-dialstring-option-00.txt  cisco brianrosen
3 draft-ruffino-autoconf-conn-scenarios-00.txt  telecomitalia telecomitalia polytechnique samsung
4 draft-ohba-preauth-ps-00.txt  toshiba telcordia nokia samsung
2 draft-schmoll-ipfix-testing-00.txt  fraunhofer cisco
1 draft-liao-mpls-obs-00.txt  pku pku pku pku
5 draft-ietf-monami6-multihoming-motivation-scenario-00.txt  wide enst-bretagne keio panasonic uni-bremen
2 draft-evans-dhc-dhcpv6-reconfigure-rebind-00.txt  arrisi cisco
1 draft-snell-atompub-feature-00.txt  snellspace
3 draft-ietf-sip-session-policy-framework-00.txt  bell-labs ericsson cisco
2 draft-stirbu-widex-framework-00.txt  nokia w3
1 draft-lendl-speermint-federations-00.txt  enum
1 draft-kalin-geant-urn-namespace-00.txt  dante dante
1 draft-ietf-tls-interoperability-00.txt  opera
2 draft-ietf-proto-iab-irtf-tracker-ext-00.txt  ericsson psg
1 draft-wen-ipv6-rsra-opt-multihoming-00.txt  alcatel
1 draft-kumaki-l3vpn-e2e-rsvp-te-reqts-00.txt  kddi
1 draft-nordmark-shim6-esd-00.txt  sun
1 draft-camarillo-sipping-pending-additions-00.txt  ericsson
2 draft-cordeiro-nsis-hypath-00.txt  uc uc uc laas laas laas
1 draft-stein-pwe3-sec-req-00.txt  rad
1 draft-ietf-eai-downgrade-00.txt  jprs jprs
2 draft-shin-16ng-ipv6-transmission-00.txt  etri samsung
4 draft-liang-bgp-qos-00.txt  jhuapl jhu jhuapl jhu
2 draft-kim-autoconf-gatewaysel-00.txt  uos uos dongguk
1 draft-wang-sip-brs-00.txt  huawei
1 draft-michaelson-4byte-as-representation-00.txt  UNKNOWN
3 draft-oki-pce-vntm-def-00.txt  ntt orange-ft olddog
2 draft-bryskin-l1vpn-ospf-auto-discovery-00.txt  movaz labn
2 draft-kaeo-distsec-framework-00.txt  merike funet
2 draft-ietf-dna-network-00.txt  panasonic panasonic enst-bretagne
1 draft-zhao-dhc-user-authentication-00.txt  huawei
1 draft-ietf-ccamp-gmpls-ason-routing-ospf-00.txt  alcatel
2 draft-ietf-rtgwg-ordered-fib-00.txt  ucl-be ucl-be cisco cisco cisco
1 draft-singh-p2p-sip-00.txt  columbia columbia
3 draft-suignard-stringprep-bis-00.txt  microsoft macchiato unicode
1 draft-cao-sip-response-identity-00.txt  cisco
2 draft-hadi-forces-tmlsp-00.txt  zjgsu znyx
2 draft-maes-lemonade-tcp-challenged-environments-00.txt  oracle oracle ericsson
1 draft-rosenau-ftp-single-port-00.txt  rosenau-ka
2 draft-ietf-tsvwg-vpn-signaled-preemption-00.txt  cisco lmco
1 draft-byun-ipdvb-ule-header-comp-00.txt  hns hns hns
1 draft-ietf-enum-3761bis-00.txt  cisco
1 draft-pmohapat-idr-info-safi-00.txt  cisco cisco
3 draft-shockey-enum-cnam-00.txt  UNKNOWN neustar comcast
1 draft-carpenter-newtrk-questions-00.txt  ibm
5 draft-petch-gerhards-syslog-transport-dtls-00.txt  pipex UNKNOWN adiscon UNKNOWN pipex
1 draft-crispin-collation-unicasemap-00.txt  washington
1 draft-keesmaat-tvreg-00.txt  tno tno
2 draft-ietf-imss-fc-fcs-mib-00.txt  cisco cisco cisco UNKNOWN
4 draft-sasaki-sipping-tispan-adhoc-summary-00.txt  shui-usjapan UNKNOWN ntt att
1 draft-jurski-pppext-iphc-00.txt  gda
1 draft-loreto-sipping-3gpp-ics-requirements-00.txt  ericsson ericsson
2 draft-asveren-dime-cong-00.txt  ulticom toshiba
1 draft-polk-dhc-ecrit-uri-psap-esrp-00.txt  cisco
3 draft-bitar-pce-inter-domain-frwk-00.txt  verizon orange-ft infonet
3 draft-patel-mip6-rfc4285bis-00.txt  cisco cisco nortel nortel starentnetworks
1 draft-maglione-pana-acct-time-00.txt  telecomitalia telecomitalia telecomitalia
3 draft-manner-nsis-nslp-auth-00.txt  hut nec siemens
